name	mkb_code	start_year	age_category	end_year	id	abbreviation	term
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	АЛТ	аланинаминотрансфераза
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	АСТ	аспартатаминотрансфераза
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	АФП	альфа-фетопротеин
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	ГЦР	гепатоцеллюлярный рак
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	КТ	компьютерная томография
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	ЛФК	лечебная физкультура
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	МРТ	магнитно-резонансная томография
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	ТАХЭ	трансартериальная химиоэмболизация
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	УЗИ	ультразвуковое исследование
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	AASLD	American Association for the Study of Liver Disease, Американская ассоциация по изучению заболеваний печени
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	EASL	The European Association for the Study of the Liver, Европейская ассоциация по изучению печени
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	BCLC	Barcelona Clinic Liver Cancer (classification), Барселонская система стадирования рака печени
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	ECOG PS	Eastern Cooperative Oncology Group Performance Status, шкала оценки общего состояния пациента, разработанная Восточной объединенной онкологической группой
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	LI-RADS	Liver Imaging Reporting and Data System
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	RECIST	Response Evaluation Criteria in Solid Tumours, критерии оценки ответа солидных опухолей на лечение
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	mRECIST	modified Response Evaluation Criteria in Solid Tumors, модифицированные критерии оценки ответа солидных опухолей на лечение
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	PD1/PD-L1	programmed cell death 1/programmed cell death 1 ligand, мембранный белок запрограммированной смерти клеток/его лиганд
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	TNM	(аббревиатура от tumor, nodus и metastasis) — международная классификация стадий злокачественных новообразований
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1	**	жизненно необходимые и важнейшие лекарственные препараты
Рак печени (гепатоцеллюлярный)	C22.0	2020	Взрослые	2022	1		
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	в/в	внутривенно (способ введения лекарственного препарата)
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	ВОЗ	Всемирная организация здравоохранения
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	КТ	компьютерная томография
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	ЛУ	лимфатический(е) узел(ы)
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	ЛФК	лечебная физическая культура
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	ЛТ	лучевая терапия
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	МКБ-10	Международная классификация болезней 10-го пересмотра
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	МРТ	магнитно-резонансная томография
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	ПЭТ/КТ	позитронно-эмиссионная томография, ассоциированная с компьютерной томографией
Рак полости носа и придаточных пазух	C30, C31	2020	Взрослые	2022	3	УДД	уровень достоверности доказательности
