,term,abbr_by_first_letters
1,Р‘СЂР°РЅСЃС‚РёРЅРіР° СЃРёРЅРґСЂРѕРј,Р‘РЎ
2,Cubonaviculare obliquum,CO
3,Thoracicus longus,TL
4,Р‘СѓСЂРґР°С…Р° СЏРґСЂРѕ,Р‘РЇ
6,РєР°РЅР°Р» СѓР»РёС‚РєРё,РљРЈ
9,Р¤Р°СЂР±РµСЂР° СЃРёРЅРґСЂРѕРј,Р¤РЎ
10,Suspenaorius duodeni,SD
11,РґРёР°Р»РёР· РёРЅС‚СЂР°РєРѕСЂРїРѕСЂР°Р»СЊРЅС‹Р№,Р”Р
12,Р‘СЂРѕРґР±РµРЅС‚Р° Р±РѕР»РµР·РЅСЊ,Р‘Р‘
13,Р°РЅС‚РёРіРёСЃС‚Р°РјРёРЅРЅС‹Рµ СЃСЂРµРґСЃС‚РІР°,РђРЎ
15,Genus inferior lateralis,GIL
16,РџРµС€РєРѕРІР° РєР°РјРµСЂР°,РџРљ
17,СЃРёРјРїС‚РѕРј РіРѕРјРѕРЅРѕРјРЅС‹Р№,РЎР“
19,СЏРґ(-С‹),РЇР«
21,СЃРёРЅРґСЂРѕРј РІРёСЃРѕС‡РЅРѕ-С‚РµРјРµРЅРЅРѕР№,РЎР’Рў
24,СЃРµРґР°Р»РёС‰РЅС‹Р№ Р±СѓРіРѕСЂ,РЎР‘
28,Р‘РµСЂРЅРµС‚Р° СЂРёРєРєРµС‚СЃРёРѕР·,Р‘Р 
29,СЃРёРЅРґСЂРѕРј РїРµС‰РµСЂРёСЃС‚РѕРіРѕ СЃРёРЅСѓСЃР°,РЎРџРЎ
30,"Talonaviculare ossiculum,",TO
31,СЃС„РµСЂРѕС„Р°РєРёСЏ-Р±СЂР°С…РёРјРѕСЂС„РёСЏ,РЎР‘
33,Р·Р°РєРѕРЅ СЂРµРіСЂРµСЃСЃРёРё,Р—Р 
36,Р”РµР»СЊ РљР°СЃС‚РёР»СЊРѕ,Р”Рљ
38,С‚РёС‚СЂ РІРёСЂСѓСЃР°,РўР’
40,РїРЅРµРІРјРѕРіСЂР°С„РёСЏ 1,Рџ1
42,Р±РµРґСЂРµРЅРЅС‹Р№ РєР°РЅР°Р»,Р‘Рљ
47,РєР°СЂРґРёРѕРіСЂР°С„ СЌР»РµРєС‚СЂРѕРЅРЅРѕР»СѓС‡РµРІРѕР№,РљР­
49,perspiratio insensibilis,PI
53,С„РµРЅРѕРјРµРЅ РїР°С‚РѕР»РѕРіРёС‡РµСЃРєРѕРіРѕ Р°СЂС‚РµСЂРёРѕРІРµРЅРѕР·РЅРѕРіРѕ РїРµСЂРµРєСЂРµСЃС‚Р°,Р¤РџРђРџ
57,РґРµС‚РµСЂРјРёРЅРёСЂСѓСЋС‰Р°СЏ СЃС‚Р°РЅС†РёСЏ РѕС‚РїСЂР°РІР»РµРЅРёСЏ,Р”РЎРћ
58,Р°Р·РѕС‚РёСЃС‚С‹Р№ Р±Р°Р»Р°РЅСЃ РїРѕР»РѕР¶РёС‚РµР»СЊРЅС‹Р№,РђР‘Рџ
62,СЌРєСЃРєР°РІР°С‚РѕСЂ СЃС‚РѕРјР°С‚РѕР»РѕРіРёС‡РµСЃРєРёР№,Р­РЎ
63,СЂРµС€РµС‚С‡Р°С‚С‹Р№ РѕС‚СЂРѕСЃС‚РѕРє,Р Рћ
65,СЂРµРєРѕРјР±РёРЅР°С†РёРѕРЅРЅС‹Р№ РёРЅРґРµРєСЃ,Р Р
66,СЂРµС‡СЊ Р°РІС‚РѕРјР°С‚РёС‡РµСЃРєР°СЏ,Р Рђ
67,Р·РѕРЅР° СЃС‚СЂРѕРіРѕРіРѕ СЂРµР¶РёРјР°,Р—РЎР 
68,РљРёС„РµСЂР° Р°СЃС†РёС‚-Р°РіР°СЂ,РљРђРђ
70,РїР»РѕСЃРєРѕСЃС‚СЊ С€РёСЂРѕРєРѕР№ С‡Р°СЃС‚Рё РїРѕР»РѕСЃС‚Рё РјР°Р»РѕРіРѕ С‚Р°Р·Р°,РџРЁР§РџРњРў
71,"Phrenica abdominalis,",PA
73,РєРµСЂР°С‚РѕРєРѕРЅСЉСЋРЅРєС‚РёРІРёС‚ СЌРїРёРґРµРјРёС‡РµСЃРєРёР№,РљР­
83,РљСѓРІРµР»РµСЂР° РјР°С‚РєР°,РљРњ
84,"superior, РІРµСЂС…РЅСЏСЏ",SР’
85,Р‘РµС…С‚РµСЂРµРІР° СЌСЂРёС‚СЂРѕР·,Р‘Р­
86,СЂРѕРјР±РѕРІРёРґРЅР°СЏ СЏРјРєР°,Р РЇ
88,РјРѕРЅРѕРЅСѓРєР»РµРѕР· РёРЅС„РµРєС†РёРѕРЅРЅС‹Р№,РњР
89,РµРґРёРЅРёС†Р° РґРµР№СЃС‚РІРёСЏ,Р•Р”
93,С‚СѓР±РµСЂРєСѓР»РѕРёРґ РїРѕРіСЂР°РЅРёС‡РЅС‹Р№,РўРџ
95,Fd-С„СЂР°РіРјРµРЅС‚,FР¤
96,РґРµСЂРјР°С‚РѕР· СЌРєСЃС‚СЂР°РјР°РјРёР»Р»СЏСЂРЅС‹Р№ РџРµРґР¶РµС‚Р°,Р”Р­Рџ
97,РґРёР°СЂРµСЏ РєРѕС…РёРЅС…РёРЅСЃРєР°СЏ,Р”Рљ
98,РёРЅРґРµРєСЃ С‚РѕРєСЃРёС‡РЅРѕСЃС‚Рё,РРў
99,"Abductor extemus pollicis,",AEP
