iter	MultiClass
0	2.735863807
1	2.62423657
2	2.519847522
3	2.438008169
4	2.373726808
5	2.316947258
6	2.273944175
7	2.228024969
8	2.19181963
9	2.156096532
10	2.129643509
11	2.101247697
12	2.07455969
13	2.05581763
14	2.032311053
15	2.015319147
16	1.997053213
17	1.980392199
18	1.963892017
19	1.944940546
20	1.924253745
21	1.906704023
22	1.895207764
23	1.877313344
24	1.864383079
25	1.852005008
26	1.843421066
27	1.831269808
28	1.823974654
29	1.812642781
30	1.802538627
31	1.793738177
32	1.787008692
33	1.774489034
34	1.767375597
35	1.759817297
36	1.7480675
37	1.739634156
38	1.730541295
39	1.72520273
40	1.72102006
41	1.713881451
42	1.705143605
43	1.699275186
44	1.691242652
45	1.687412386
46	1.681360082
47	1.673476604
48	1.667335594
49	1.660741617
50	1.65456601
51	1.647353669
52	1.641019346
53	1.638321964
54	1.632253292
55	1.628150488
56	1.619565986
57	1.612171411
58	1.607881144
59	1.602235166
60	1.595917133
61	1.593878326
62	1.588136535
63	1.585317842
64	1.582654595
65	1.577468828
66	1.572308145
67	1.568422307
68	1.565134414
69	1.558634398
70	1.556444479
71	1.549505424
72	1.544757714
73	1.540370756
74	1.536683679
75	1.533060504
76	1.527018492
77	1.521002855
78	1.516874924
79	1.514701773
80	1.509607798
81	1.50500735
82	1.500492115
83	1.496919168
84	1.492970238
85	1.488490774
86	1.484726833
87	1.479614509
88	1.473651757
89	1.46838328
90	1.462838847
91	1.457626729
92	1.453888202
93	1.448965925
94	1.444731298
95	1.437475508
96	1.434200034
97	1.432560686
98	1.431223461
99	1.424526161
100	1.419280011
101	1.41369307
102	1.411007892
103	1.406629776
104	1.402247497
105	1.39961341
106	1.394881584
107	1.391710299
108	1.388338995
109	1.384046865
110	1.380800015
111	1.377990486
112	1.375535465
113	1.370459897
114	1.366861902
115	1.363391695
116	1.36047977
117	1.358139123
118	1.353963243
119	1.351415954
120	1.349721832
121	1.345573104
122	1.342599541
123	1.339366152
124	1.336738002
125	1.333011901
126	1.330675039
127	1.325473211
128	1.321908671
129	1.319701724
130	1.31753254
131	1.316531207
132	1.313719509
133	1.310405518
134	1.30882013
135	1.305876262
136	1.302549151
137	1.300238892
138	1.297118145
139	1.294994258
140	1.289666093
141	1.286719834
142	1.282728115
143	1.280695855
144	1.277696483
145	1.275440813
146	1.272997168
147	1.270194838
148	1.268068831
149	1.266087324
150	1.263897908
151	1.259691176
152	1.25720068
153	1.2547249
154	1.253065505
155	1.248621265
156	1.246734033
157	1.244941097
158	1.242487821
159	1.240370524
160	1.238484614
161	1.236762534
162	1.233912068
163	1.230762421
164	1.229234281
165	1.224694967
166	1.222307026
167	1.220782193
168	1.216906117
169	1.216389641
170	1.212105955
171	1.210795948
172	1.207078214
173	1.204529885
174	1.203629515
175	1.201716403
176	1.199738162
177	1.198024642
178	1.196125044
179	1.194174682
180	1.19209231
181	1.190189135
182	1.188213761
183	1.185925573
184	1.184926282
185	1.18407663
186	1.182974505
187	1.181224421
188	1.18023981
189	1.178664631
190	1.176450699
191	1.17435754
192	1.171685239
193	1.170304166
194	1.168529899
195	1.167494054
196	1.165030176
197	1.163928406
198	1.161879189
199	1.160385959
200	1.157328627
201	1.156181852
202	1.15385909
203	1.152347047
204	1.151595557
205	1.150742498
206	1.147377002
207	1.146021513
208	1.144715413
209	1.142407578
210	1.140806532
211	1.138731439
212	1.137069536
213	1.135564488
214	1.133320093
215	1.131611801
216	1.131257491
217	1.128271585
218	1.126464467
219	1.125211026
220	1.12294615
221	1.122400559
222	1.119725375
223	1.118533203
224	1.117149121
225	1.115354383
226	1.112044657
227	1.111490107
228	1.108980694
229	1.108248905
230	1.107479044
231	1.106232108
232	1.105039031
233	1.104223413
234	1.10307832
235	1.101467469
236	1.099955011
237	1.098648073
238	1.096609105
239	1.095315127
240	1.094574826
241	1.093117754
242	1.091236119
243	1.089954879
244	1.087752152
245	1.085838956
246	1.084241121
247	1.081864198
248	1.080056172
249	1.078242244
