iter	Passed	Remaining
0	36	36929
1	73	36896
2	115	38309
3	150	37534
4	215	42927
5	262	43463
6	307	43576
7	351	43601
8	391	43134
9	444	44042
10	493	44371
11	534	44048
12	577	43813
13	619	43615
14	667	43845
15	711	43776
16	747	43251
17	781	42643
18	815	42124
19	849	41631
20	886	41332
21	918	40853
22	953	40523
23	987	40176
24	1022	39862
25	1056	39568
26	1089	39255
27	1123	39000
28	1165	39034
29	1201	38842
30	1249	39062
31	1285	38876
32	1318	38630
33	1350	38375
34	1383	38156
35	1417	37967
36	1453	37821
37	1485	37617
38	1525	37594
39	1559	37420
40	1592	37241
41	1625	37074
42	1662	37005
43	1696	36862
44	1730	36731
45	1765	36607
46	1799	36489
47	1833	36359
48	1867	36241
49	1899	36081
50	1931	35937
51	1964	35813
52	1997	35682
53	2030	35564
54	2064	35472
55	2096	35334
56	2128	35220
57	2162	35126
58	2194	35001
59	2226	34884
60	2258	34766
61	2292	34677
62	2323	34559
63	2357	34483
64	2390	34384
65	2423	34292
66	2455	34194
67	2487	34098
68	2520	34003
69	2552	33911
70	2587	33850
71	2620	33774
72	2656	33728
73	2691	33677
74	2724	33596
75	2758	33532
76	2790	33454
77	2822	33363
78	2872	33492
79	2907	33441
80	2941	33374
81	2975	33311
82	3010	33265
83	3046	33221
84	3080	33163
85	3114	33100
86	3149	33052
87	3182	32980
88	3217	32930
89	3252	32887
90	3287	32843
91	3320	32776
92	3357	32740
93	3390	32678
94	3423	32610
95	3456	32544
96	3489	32486
97	3522	32425
98	3557	32375
99	3593	32338
100	3627	32285
101	3660	32229
102	3697	32198
103	3732	32159
104	3767	32117
105	3803	32074
106	3838	32031
107	3873	31990
108	3907	31945
109	3943	31904
110	3978	31864
111	4012	31816
112	4048	31775
113	4081	31717
114	4114	31660
115	4146	31602
116	4179	31544
117	4215	31507
118	4252	31482
119	4286	31431
120	4321	31394
121	4355	31347
122	4390	31302
123	4423	31250
124	4457	31203
125	4492	31163
126	4528	31128
127	4563	31086
128	4595	31030
129	4629	30981
130	4665	30947
131	4698	30896
132	4731	30845
133	4765	30796
134	4799	30750
135	4835	30718
136	4868	30668
137	4901	30616
138	4934	30562
139	4967	30512
140	5000	30464
141	5036	30432
142	5071	30390
143	5104	30340
144	5137	30292
145	5169	30238
146	5203	30195
147	5237	30149
148	5269	30098
149	5303	30052
150	5337	30012
151	5371	29969
152	5406	29929
153	5440	29886
154	5475	29849
155	5509	29806
156	5542	29759
157	5575	29714
158	5611	29681
159	5644	29633
160	5678	29590
161	5710	29541
162	5748	29516
163	5781	29473
164	5814	29425
165	5849	29388
166	5882	29343
167	5916	29298
168	5950	29258
169	5983	29215
170	6016	29167
171	6050	29128
172	6084	29084
173	6117	29041
174	6151	28998
175	6183	28948
176	6216	28905
177	6248	28856
178	6280	28807
179	6314	28763
180	6345	28713
181	6378	28667
182	6410	28618
183	6441	28568
184	6474	28521
185	6505	28470
186	6538	28428
187	6570	28379
188	6603	28337
189	6637	28296
190	6669	28250
191	6701	28201
192	6735	28161
193	6767	28116
194	6799	28070
195	6832	28027
196	6864	27979
197	6896	27932
198	6927	27885
199	6958	27835
200	6991	27793
201	7025	27755
202	7058	27710
203	7090	27665
204	7121	27618
205	7152	27569
206	7184	27522
207	7216	27476
208	7248	27434
209	7281	27394
210	7313	27347
211	7346	27306
212	7378	27261
213	7411	27221
214	7444	27179
215	7475	27134
216	7507	27088
217	7539	27044
218	7569	26994
219	7601	26950
220	7632	26903
221	7663	26857
222	7694	26811
223	7726	26766
224	7758	26722
225	7789	26675
226	7822	26638
227	7853	26592
228	7887	26554
229	7918	26510
230	7949	26463
231	7981	26421
232	8012	26375
233	8042	26328
234	8073	26281
235	8104	26235
236	8135	26191
237	8165	26144
238	8196	26099
239	8227	26053
240	8257	26007
241	8290	25966
242	8320	25919
243	8351	25875
244	8382	25833
245	8414	25791
246	8446	25751
247	8478	25710
248	8510	25667
249	8540	25621
250	8571	25579
251	8603	25538
252	8634	25495
253	8666	25454
254	8699	25417
255	8731	25376
256	8762	25333
257	8793	25290
258	8824	25247
259	8856	25207
260	8888	25166
261	8920	25126
262	8951	25085
263	8983	25046
264	9015	25005
265	9046	24962
266	9077	24920
267	9110	24882
268	9142	24844
269	9172	24800
270	9204	24759
271	9235	24718
272	9266	24675
273	9296	24633
274	9327	24591
275	9360	24553
276	9393	24516
277	9424	24476
278	9456	24436
279	9486	24394
280	9521	24361
281	9553	24323
282	9584	24283
283	9616	24245
284	9648	24206
285	9680	24167
286	9713	24130
287	9746	24095
288	9779	24059
289	9814	24027
290	9846	23990
291	9878	23951
292	9910	23913
293	9942	23875
294	9974	23836
295	10007	23802
296	10043	23773
297	10077	23739
298	10111	23707
299	10149	23681
300	10186	23655
301	10220	23621
302	10253	23586
303	10286	23549
304	10319	23514
305	10353	23481
306	10386	23446
307	10418	23407
308	10450	23369
309	10482	23331
310	10514	23294
311	10546	23255
312	10577	23217
313	10610	23180
314	10642	23143
315	10675	23106
316	10708	23071
317	10739	23033
318	10771	22995
319	10803	22957
320	10835	22920
321	10866	22881
322	10899	22844
323	10944	22835
324	10978	22801
325	11011	22766
326	11044	22730
327	11077	22694
328	11110	22660
329	11144	22625
330	11180	22597
331	11214	22563
332	11247	22529
333	11280	22493
334	11291	22413
335	11323	22378
336	11357	22343
337	11389	22307
338	11421	22270
339	11454	22234
340	11486	22197
341	11519	22164
342	11561	22146
343	11594	22109
344	11626	22073
345	11659	22039
346	11692	22002
347	11724	21966
348	11757	21931
349	11790	21896
350	11822	21860
351	11855	21825
352	11889	21791
353	11923	21757
354	11957	21725
355	11991	21692
356	12024	21656
357	12057	21622
358	12090	21587
359	12122	21551
360	12161	21526
361	12198	21499
362	12230	21463
363	12264	21429
364	12298	21395
365	12330	21359
366	12365	21327
367	12398	21292
368	12430	21257
369	12466	21226
370	12499	21191
371	12531	21156
372	12564	21119
373	12597	21085
374	12629	21049
375	12662	21014
376	12696	20981
377	12729	20946
378	12762	20911
379	12794	20875
380	12826	20839
381	12859	20803
382	12891	20767
383	12925	20733
384	12958	20700
385	12992	20667
386	13025	20632
387	13057	20596
388	13090	20560
389	13122	20524
390	13155	20489
391	13187	20454
392	13219	20418
393	13250	20380
394	13282	20343
395	13314	20307
396	13345	20271
397	13377	20233
398	13410	20199
