,term,abbr_by_first_letters
1,Бранстинга синдром,БС
2,Cubonaviculare obliquum,CO
3,Thoracicus longus,TL
4,Бурдаха ядро,БЯ
6,канал улитки,КУ
9,Фарбера синдром,ФС
10,Suspenaorius duodeni,SD
11,диализ интракорпоральный,ДИ
12,Бродбента болезнь,ББ
13,антигистаминные средства,АС
15,Genus inferior lateralis,GIL
16,Пешкова камера,ПК
17,симптом гомономный,СГ
19,яд(-ы),ЯЫ
21,синдром височно-теменной,СВТ
24,седалищный бугор,СБ
28,Бернета риккетсиоз,БР
29,синдром пещеристого синуса,СПС
30,"Talonaviculare ossiculum,",TO
31,сферофакия-брахиморфия,СБ
33,закон регрессии,ЗР
36,Дель Кастильо,ДК
38,титр вируса,ТВ
40,пневмография 1,П1
42,бедренный канал,БК
47,кардиограф электроннолучевой,КЭ
49,perspiratio insensibilis,PI
53,феномен патологического артериовенозного перекреста,ФПАП
57,детерминирующая станция отправления,ДСО
58,азотистый баланс положительный,АБП
62,экскаватор стоматологический,ЭС
63,решетчатый отросток,РО
65,рекомбинационный индекс,РИ
66,речь автоматическая,РА
67,зона строгого режима,ЗСР
68,Кифера асцит-агар,КАА
70,плоскость широкой части полости малого таза,ПШЧПМТ
71,"Phrenica abdominalis,",PA
73,кератоконъюнктивит эпидемический,КЭ
83,Кувелера матка,КМ
84,"superior, верхняя",SВ
85,Бехтерева эритроз,БЭ
86,ромбовидная ямка,РЯ
88,мононуклеоз инфекционный,МИ
89,единица действия,ЕД
93,туберкулоид пограничный,ТП
95,Fd-фрагмент,FФ
96,дерматоз экстрамамиллярный Педжета,ДЭП
97,диарея кохинхинская,ДК
98,индекс токсичности,ИТ
99,"Abductor extemus pollicis,",AEP
100,рекомбинация хромосом,РХ
111,бета-терапия,БТ
112,энергетическая ценность,ЭЦ
114,Седдона рахиотомия,СР
116,Communicans cum n. laryngeo inferiore,CCNLI
119,Шминке опухоль,ШО
121,Ру-Герцена операция,РГО
123,дистимия эндореактивная,ДЭ
124,Talocalcaneare fibulare,TF
125,альбумин мышечный,АМ
128,камперовская линия,КЛ
133,медицинский склад военный,МСВ
134,аденома фолликулярная,АФ
136,суставная мышь,СМ
138,мейбомиевы железы,МЖ
139,"Collateralia digitorum manus,",CDM
142,Роны реакция,РР
144,Тома рефлекс,ТР
145,B. subtendinea m. subscapularis,BSMS
146,фетальный период,ФП
147,Уайета способ,УС
149,биологически активное вещество,БАВ
150,диск A,ДA
155,Ниропа прямодержатель,НП
156,лихорадка тропическая комариная,ЛТК
157,Гопкинса метод,ГМ
162,пролан Б,ПБ
165,протрузия мозга,ПМ
166,Glandulares rami,GR
167,Тайджесона кератоконъюнктивит,ТК
169,Лихтгейма феномен,ЛФ
172,медицинская карта,МК
174,атрофия оливопонтоцеребеллярная,АО
175,Потта перелом,ПП
176,Ascendens ramus,AR
177,Аддиса проба,АП
178,эктопия яичка,ЭЯ
179,фазофрении Клейста,ФК
182,"Cervicovaginalis ramus,",CR
183,очаг массовых санитарных потерь,ОМСП
185,грязевое озеро,ГО
187,Лушки миндалина,ЛМ
192,психоаналептические средства,ПС
193,кобальт радиоактивный,КР
195,Transversus linguae,TL
196,макроэргические соединения,МС
198,"Glandulae thyreoideae (medium et lateralia),",GT(EL
199,эласторексис генерализованный,ЭГ
200,Гришина аппарат,ГА
201,сумеречное состояние,СС
202,синдром аффективный,СА
203,Apicalis ramus,AR
205,подбородочная точка,ПТ
206,медицина военно-морская,МВМ
207,горный дротик,ГД
209,Васильева метод пластики,ВМП
210,ангина Людвига,АЛ
211,Тейна схема,ТС
212,Захарченко синдром,ЗС
213,гуморальные факторы,ГФ
215,протопласт бактериальный,ПБ
218,Transversa colli,TC
220,Corticales rami,CR
221,"Interarytaenoideus obliquus,",IO
223,Немека ток,НТ
224,температура оперативная,ТО
225,пороговая реакция,ПР
230,Interlacunaris pars fasciae ilicae,IPFI
231,речь моторная,РМ
232,декомпрессионная камера,ДК
233,Xenopsilla cheopis,XC
235,Шмерца клемма,ШК
236,Пирогова фасция,ПФ
237,Metacarpea palmaria,MP
238,дерматофиброз лентикулярный диссеминированный,ДЛД
239,автоматическое управление,АУ
240,B. trochanterica m. glutei maximi,BTMGM
241,предоперационный период,ПП
242,Гефтер метод,ГМ
247,фаза изометрического расслабления,ФИР
248,Шарко симптом,ШС
249,"Rhomboides claviculae,",RC
252,большой бугорок,ББ
255,ветвь лобковой кости верхняя,ВЛКВ
259,вакуум-сушилка,ВС
261,Торнтона эхинококкэктомия,ТЭ
263,экзантема эпидемическая,ЭЭ
264,Meningicae mediae,MM
266,фаза изгнания,ФИ
267,глиома эпендимальная,ГЭ
268,Triceps brachii,TB
269,Ad pontem rami,APR
270,дискератоз фолликулярный,ДФ
272,Ampullaris lateralis,AL
273,уксусная кислота,УК
275,Fc-фрагмент,FФ
277,Cutaneus brachii lateralis,CBL
278,нервно-психическое напряжение,НПН
279,детский сад,ДС
282,альфа-адреномиметические средства,ААС
284,Вейксельбаума диплококк,ВД
290,Тандлера теория,ТТ
292,Равич-Щербо симптом,РЩС
293,надлобковая область,НО
295,Nodi lymphatici paravaginales,NLP
296,пупок барабанной перепонки,ПБП
299,пангамовая кислота,ПК
302,легкие фермера,ЛФ
304,ритм суточный,РС
306,"Diaphragmaticus plexus venosus,",DPV
307,Peronaea communis,PC
310,линия фиксации,ЛФ
313,Фарранта метод,ФМ
314,Винслоу отверстие,ВО
315,токсикоз беременных,ТБ
318,Шая-Дрейджера синдром,ШДС
