term,abbr_by_first_letters
,
Бранстинга синдром,БС
Cubonaviculare obliquum,CO
Thoracicus longus,TL
Бурдаха ядро,БЯ
лейкопедез,Л
канал улитки,КУ
дизестезия,Д
Свифт,С
Фарбера синдром,ФС
Suspenaorius duodeni,SD
диализ интракорпоральный,ДИ
Бродбента болезнь,ББ
антигистаминные средства,АС
gerontoxon,G
Genus inferior lateralis,GIL
Пешкова камера,ПК
симптом гомономный,СГ
трансметилирование,Т
яд(-ы),ЯЫ
плазмин,П
синдром височно-теменной,СВТ
флеботонометр,Ф
Limbocostale,L
седалищный бугор,СБ
Book,B
преадаптация,П
Штенгль,Ш
Бернета риккетсиоз,БР
синдром пещеристого синуса,СПС
"Talonaviculare ossiculum,",TO
сферофакия-брахиморфия,СБ
ананказм,А
закон регрессии,ЗР
себорея,С
тетано-,Т
Дель Кастильо,ДК
Оберста,О
титр вируса,ТВ
бородавчатка,Б
пневмография 1,П1
скребни,С
бедренный канал,БК
Quick,Q
Вишневский,В
Kolliker,K
ди-,Д
кардиограф электроннолучевой,КЭ
Worth,W
perspiratio insensibilis,PI
ката-,К
сиалосцинтиграфия,С
паргедония,П
феномен патологического артериовенозного перекреста,ФПАП
Блегвада,Б
медико-,М
скабиофобия,С
детерминирующая станция отправления,ДСО
азотистый баланс положительный,АБП
проктоперинеорафия,П
Ekman,E
Camper,C
экскаватор стоматологический,ЭС
решетчатый отросток,РО
эндоаллерген,Э
рекомбинационный индекс,РИ
речь автоматическая,РА
зона строгого режима,ЗСР
Кифера асцит-агар,КАА
панкреатография,П
плоскость широкой части полости малого таза,ПШЧПМТ
"Phrenica abdominalis,",PA
баланит,Б
кератоконъюнктивит эпидемический,КЭ
стоматолог,С
Urethralis,U
Линдеманн,Л
ванны,В
орхит,О
хондробласт,Х
директоскоп,Д
хорионаденома,Х
геофагия,Г
Кувелера матка,КМ
"superior, верхняя",SВ
Бехтерева эритроз,БЭ
ромбовидная ямка,РЯ
цимбоцефалия,Ц
мононуклеоз инфекционный,МИ
единица действия,ЕД
Сез,С
Subbarow,S
перикардтон,П
туберкулоид пограничный,ТП
сальтация,С
Fd-фрагмент,FФ
дерматоз экстрамамиллярный Педжета,ДЭП
диарея кохинхинская,ДК
индекс токсичности,ИТ
"Abductor extemus pollicis,",AEP
рекомбинация хромосом,РХ
насыщение,Н
спонгиоз,С
Fordyce,F
кардиология,К
тезаурисмозы,Т
Sternohyoideus,S
радикул-,Р
Вилларе,В
"Iliococcygeus,",I
френо-,Ф
бета-терапия,БТ
энергетическая ценность,ЭЦ
Fournier,F
Седдона рахиотомия,СР
диарея,Д
Communicans cum n. laryngeo inferiore,CCNLI
кардиоспазм,К
Trichomonas,T
Шминке опухоль,ШО
Baldy,B
Ру-Герцена операция,РГО
дакриоцистит,Д
дистимия эндореактивная,ДЭ
Talocalcaneare fibulare,TF
альбумин мышечный,АМ
монохориаты,М
иридокапсулэктомия,И
камперовская линия,КЛ
почесуха,П
сакроилеит,С
Degni,D
урогенитальный,У
медицинский склад военный,МСВ
аденома фолликулярная,АФ
периорхит,П
суставная мышь,СМ
иммуноген,И
мейбомиевы железы,МЖ
"Collateralia digitorum manus,",CDM
электрокортикограмма,Э
трансверзостомия,Т
Роны реакция,РР
Троянова,Т
Тома рефлекс,ТР
B. subtendinea m. subscapularis,BSMS
фетальный период,ФП
Уайета способ,УС
артрология,А
биологически активное вещество,БАВ
диск A,ДA
гиперметаморфоз,Г
Pospischill,P
алиения,А
гранулобласт,Г
Ниропа прямодержатель,НП
лихорадка тропическая комариная,ЛТК
Гопкинса метод,ГМ
Неттера,Н
факосклероз,Ф
холеретики,Х
паротидный,П
пролан Б,ПБ
динамобаллистокардиограф,Д
soor,S
протрузия мозга,ПМ
Glandulares rami,GR
Тайджесона кератоконъюнктивит,ТК
кератометр,К
Лихтгейма феномен,ЛФ
гипобулия,Г
Фидлер,Ф
медицинская карта,МК
Zang,Z
атрофия оливопонтоцеребеллярная,АО
Потта перелом,ПП
Ascendens ramus,AR
Аддиса проба,АП
эктопия яичка,ЭЯ
фазофрении Клейста,ФК
гостепаразиты,Г
гемафизалис,Г
"Cervicovaginalis ramus,",CR
очаг массовых санитарных потерь,ОМСП
каудальный,К
грязевое озеро,ГО
Gsell,G
Лушки миндалина,ЛМ
Interspinales,I
тендо-,Т
гипнотизм,Г
интрамуральный,И
психоаналептические средства,ПС
кобальт радиоактивный,КР
